id,model,brand,weight,released,operatingSystem,platform,deviceCategory
20153,Mi 12 Pro 5G Premium Edition Global Dual SIM TD-LTE 256GB 2201122G,Xiaomi,205 g,2022 Mar 17,Google Android 12 (S),Android,Smartphone
20154,Mi 12 Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB 2201122C,Xiaomi,205 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20155,Xperia 10 IV 5G Dual SIM TD-LTE JP 128GB XQ-CC44,Sony,161 g,2022 Jul 8,Google Android 12 (S),Android,Smartphone
20156,Mi 12 Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB 2201122C,Xiaomi,205 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20157,Mi 12 Pro 5G Standard Edition Dual SIM TD-LTE CN 128GB 2201122C,Xiaomi,205 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20158,Mi 12 5G Premium Edition Global Dual SIM TD-LTE 256GB 2201123G,Xiaomi,180 g,2022 Mar 17,Google Android 12 (S),Android,Smartphone
20159,Mi 12 5G Premium Edition Dual SIM TD-LTE CN 256GB 2201123C,Xiaomi,180 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20160,Mi 12 5G Standard Edition Dual SIM TD-LTE CN 256GB 2201123C,Xiaomi,180 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20161,Mi 12 5G Standard Edition Dual SIM TD-LTE CN 128GB 2201123C,Xiaomi,180 g,2021 Dec,Google Android 12 (S),Android,Smartphone
20162,Mi 12X 5G Global Dual SIM TD-LTE 128GB 2112123AG,Xiaomi,176 g,2022 Mar 8,Google Android 11 (R),Android,Smartphone
20163,A36 2022 Premium Edition Dual SIM TD-LTE CN 128GB PESM10,Oppo,185 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20164,A36 2022 Premium Edition Dual SIM TD-LTE CN 256GB PESM10,Oppo,185 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20165,A36 2022 Standard Edition Dual SIM TD-LTE CN 128GB PESM10,Oppo,185 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20166,Vivo V23 Pro 5G Premium Edition Dual SIM TD-LTE IN 256GB V2132,BBK,171 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20167,Vivo V23 Pro 5G Standard Edition Dual SIM TD-LTE IN 128GB V2132,BBK,171 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20168,Vivo Y75 5G 2022 Dual SIM TD-LTE IN 128GB V2142,BBK,187 g,2022 May 2,Google Android 11 (R),Android,Smartphone
20169,vivo Y33T 2022 Dual SIM TD-LTE IN V2 128GB V2146,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20170,vivo Y33T 2022 Dual SIM TD-LTE TH V3 128GB V2146,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20171,vivo Y33T 2022 Dual SIM TD-LTE ID PK V1 128GB V2146,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20172,Vivo Y10 2021 Dual SIM TD-LTE CN 128GB V2140A,BBK,179 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20173,10 Pro 5G Standard Edition Global Dual SIM TD-LTE 128GB NE2213,OnePlus,200.5 g,2022 Apr. 8,Google Android 12 (S),Android,Smartphone
20174,Mi 12 Pro 5G Standard Edition Global Dual SIM TD-LTE 256GB 2201122G,Xiaomi,205 g,2022 Mar 17,Google Android 12 (S),Android,Smartphone
20175,Mi 12 5G Standard Edition Global Dual SIM TD-LTE 256GB 2201123G,Xiaomi,180 g,2022 Mar 17,Google Android 12 (S),Android,Smartphone
20176,Mi 12 5G Standard Edition Global Dual SIM TD-LTE 128GB 2201123G,Xiaomi,180 g,2022 Mar 17,Google Android 12 (S),Android,Smartphone
20177,Mi 12X 5G Global Dual SIM TD-LTE 256GB 2112123AG,Xiaomi,176 g,2022 Mar 8,Google Android 11 (R),Android,Smartphone
20178,Mi 12X 5G Standard Edition Dual SIM TD-LTE CN 256GB 2112123AC,Xiaomi,176 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20179,Mi 12X 5G Standard Edition Dual SIM TD-LTE CN 128GB 2112123AC,Xiaomi,176 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20180,Mi 12X 5G Premium Edition Dual SIM TD-LTE CN 256GB 2112123AC,Xiaomi,176 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20181,Mi 12 Lite 5G Premium Edition Global Dual SIM TD-LTE 128GB 2203129G,Xiaomi,173 g,2022 Jul 13,Google Android 12 (S),Android,Smartphone
20182,Mi 12 Lite 5G Premium Edition Global Dual SIM TD-LTE 256GB 2203129G,Xiaomi,173 g,2022 Jul 13,Google Android 12 (S),Android,Smartphone
20183,Mi 12 Lite 5G Standard Edition Global Dual SIM TD-LTE 128GB 2203129G,Xiaomi,173 g,2022 Jul 13,Google Android 12 (S),Android,Smartphone
20184,Mi 12 Lite 5G Premium Edition Global Dual SIM TD-LTE 256GB 2203129I,Xiaomi,173 g,2022 Aug.,Google Android 12 (S),Android,Smartphone
20185,Desire 21 Pro 5G Global Dual SIM TD-LTE 128GB,HTC,205 g,2021 Jan.,Google Android 10 (Q),Android,Smartphone
20186,10 Pro 5G Premium Edition Global Dual SIM TD-LTE 256GB NE2213,OnePlus,200.5 g,2022 Apr. 8,Google Android 12 (S),Android,Smartphone
20187,10 Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB NE2210,OnePlus,200.5 g,2022 Jan. 13,Google Android 12 (S),Android,Smartphone
20188,10 Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB NE2210,OnePlus,200.5 g,2022 Jan. 13,Google Android 12 (S),Android,Smartphone
20189,10 Pro 5G Standard Edition Dual SIM TD-LTE CN 128GB NE2210,OnePlus,200.5 g,2022 Jan. 13,Google Android 12 (S),Android,Smartphone
20190,10 Pro 5G Premium Edition Dual SIM TD-LTE CN 512GB NE2210,OnePlus,200.5 g,2022 Mar 2,Google Android 12 (S),Android,Smartphone
20191,10 Pro 5G Premium Edition Dual SIM TD-LTE IN 256GB NE2211,OnePlus,200.5 g,2022 Apr. 6,Google Android 12 (S),Android,Smartphone
20192,10 Pro 5G Standard Edition Dual SIM TD-LTE IN 128GB NE2211,OnePlus,200.5 g,2022 Apr. 6,Google Android 12 (S),Android,Smartphone
20193,10 Pro 5G Premium Edition Dual SIM TD-LTE NA 256GB NE2215,OnePlus,200.5 g,2022 Jun 8,Google Android 12 (S),Android,Smartphone
20194,10 Pro 5G Standard Edition Dual SIM TD-LTE NA 128GB NE2215,OnePlus,200.5 g,2022 Apr. 14,Google Android 12 (S),Android,Smartphone
20195,10 Pro 5G Standard Edition Dual SIM TD-LTE US 128GB NE2217,OnePlus,209 g,2022 Apr. 14,Google Android 12 (S),Android,Smartphone
20196,Desire 22 Pro 5G Global Dual SIM TD-LTE 128GB,HTC,205.5 g,2022 Jul,Google Android 12 (S),Android,Smartphone
20197,Reno6 Lite 2022 Global Dual SIM TD-LTE 128GB CPH2365,Oppo,175 g,2022 Jan. 17,Google Android 11 (R),Android,Smartphone
20198,Find X5 Pro 5G Premium Edition Global Dual SIM TD-LTE 256GB CPH2305,Oppo,218 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20199,vivo Y21e 2021 4G Standard Edition Dual SIM TD-LTE IN 64GB V2140,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20200,vivo Y21A 2021 4G Standard Edition Dual SIM TD-LTE IN 64GB  V2149,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20201,Vivo Y55 5G 2022 Premium Edition Dual SIM TD-LTE V1 MY AE 128GB V2127 / Y55+ 5G,BBK,187 g,2022 Apr.,Google Android 11 (R),Android,Smartphone
20202,Vivo Y55 5G 2022 Standard Edition Global Dual SIM TD-LTE V2 128GB V2127,BBK,187 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20203,Vivo Y55 5G 2022 Standard Edition Global TD-LTE V2 128GB V2127,BBK,187 g,2022 May 18,Google Android 11 (R),Android,Smartphone
20204,vivo Y21T 2021 4G Standard Edition Dual SIM TD-LTE V1 ID PK 128GB V2135,BBK,182 g,2022 Jan. 11,Google Android 11 (R),Android,Smartphone
20205,vivo Y21T 2021 4G Standard Edition Dual SIM TD-LTE V2 IN 128GB V2135,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20206,vivo Y21T 2021 4G Premium Edition Dual SIM TD-LTE V1 ID PK 128GB V2135,BBK,182 g,2022 Jan. 11,Google Android 11 (R),Android,Smartphone
20207,Reno5 A 5G TD-LTE JP A103OP,Oppo,182 g,2022 Feb. 24,Google Android 12 (S),Android,Smartphone
20208,vivo Y21T 2021 4G Standard Edition Dual SIM TD-LTE V3 BD 128GB V2135,BBK,182 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20209,vivo Y21T 2021 4G Premium Edition Dual SIM TD-LTE V4 MY TH PH 128GB V2135,BBK,182 g,2022 Jan. 11,Google Android 11 (R),Android,Smartphone
20210,vivo Y21T 2021 4G Standard Edition Dual SIM TD-LTE V4 MY TH PH 128GB V2135,BBK,182 g,2022 Jan. 11,Google Android 11 (R),Android,Smartphone
20211,vivo Y21T 2021 4G Standard Edition Global Dual SIM TD-LTE V5 128GB V2135,BBK,182 g,2022 Jan. 11,Google Android 11 (R),Android,Smartphone
20212,Find X5 5G Global Dual SIM TD-LTE 256GB CPH2307,Oppo,196 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20213,Realme 9i 2022 NFC Standard Edition Global Dual SIM TD-LTE V1 128GB RMX3491,Oppo,190 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20214,Legion Y90 5G Top Edition Dual SIM TD-LTE CN 640GB L71061,Lenovo,252 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20215,vivo iQOO 9 Pro 5G Premium Edition Dual SIM TD-LTE CN 512GB V2172A,BBK,210 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20216,Realme 9i 2022 Premium Edition Dual SIM TD-LTE VN RU V2 128GB RMX3491,Oppo,190 g,2022 Jan. 14,Google Android 11 (R),Android,Smartphone
20217,Realme 9i 2022 Standard Edition Dual SIM TD-LTE VN RU V2 128GB RMX3491,Oppo,190 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20218,Realme 9i 2022 Standard Edition Global Dual SIM TD-LTE V1 64GB RMX3491,Oppo,190 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20219,Realme 9i 2022 NFC Standard Edition Global Dual SIM TD-LTE V1 64GB RMX3491,Oppo,190 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20220,Realme 9i 2022 Premium Edition Global Dual SIM TD-LTE V1 128GB RMX3491,Oppo,190 g,2022 Jan.,Google Android 11 (R),Android,Smartphone
20221,Realme 9i 2022 Premium Edition Dual SIM TD-LTE LATAM V3 128GB RMX3491,Oppo,190 g,2022 Feb.,Google Android 11 (R),Android,Smartphone
20222,Realme 9i 2022 Standard Edition Dual SIM TD-LTE LATAM V3 64GB RMX3491,Oppo,190 g,2022 Feb.,Google Android 11 (R),Android,Smartphone
20223,Find X5 Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB PFEM10,Oppo,218 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20224,Find X5 Pro 5G Premium Edition Dual SIM TD-LTE CN 512GB PFEM10,Oppo,218 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20225,Find X5 Pro 5G Premium Edition Global TD-LTE 256GB CPH2305,Oppo,218 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20226,Find X5 Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB PFEM10,Oppo,218 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20227,Find X5 5G Global TD-LTE 256GB CPH2307,Oppo,196 g,2022 Mar 24,Google Android 12 (S),Android,Smartphone
20228,Find X5 5G Standard Edition Dual SIM TD-LTE CN 256GB PFFM10,Oppo,196 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20229,Find X5 5G Standard Edition Dual SIM TD-LTE CN 128GB PFFM10,Oppo,196 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20230,Find X5 5G Premium Edition Dual SIM TD-LTE CN 256GB PFFM10,Oppo,196 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20231,Find X5 Pro 5G Dimensity Edition Dual SIM TD-LTE CN 256GB PFFM20,Oppo,216 g,2022 Mar 18,Google Android 12 (S),Android,Smartphone
20232,Find X5 Lite 5G Global Dual SIM TD-LTE 256GB CPH2371,Oppo,173 g,2022 Mar 24,Google Android 11 (R),Android,Smartphone
20233,Find X5 Lite 5G Global TD-LTE 256GB CPH2371,Oppo,173 g,2022 Mar,Google Android 11 (R),Android,Smartphone
20234,Ace 5G 2022 Premium Edition Dual SIM TD-LTE CN 256GB PGKM10,OnePlus,186 g,2022 Apr.,Google Android 12 (S),Android,Smartphone
20235,Legion Y90 5G Premium Edition Dual SIM TD-LTE CN 256GB L71061,Lenovo,252 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20236,Legion Y90 5G Standard Edition Dual SIM TD-LTE CN 256GB L71061,Lenovo,252 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20237,Ace 5G 2022 Standard Edition Dual SIM TD-LTE CN 256GB PGKM10,OnePlus,186 g,2022 Apr.,Google Android 12 (S),Android,Smartphone
20238,Ace 5G 2022 Standard Edition Dual SIM TD-LTE CN 128GB PGKM10,OnePlus,186 g,2022 Apr.,Google Android 12 (S),Android,Smartphone
20239,Ace 5G 2022 Premium Edition Dual SIM TD-LTE CN 512GB PGKM10,OnePlus,186 g,2022 Apr.,Google Android 12 (S),Android,Smartphone
20240,SM-X906B Galaxy Tab S8 Ultra 5G 14.6 2022 Premium Edition Global TD-LTE 256GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20241,vivo iQOO 9 Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB V2172A,BBK,210 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20242,vivo iQOO 9 Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB V2172A,BBK,210 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20243,vivo iQOO 9 Pro 5G Premium Edition Dual SIM TD-LTE IN 256GB I2022,BBK,209 g,2022 Feb. 22,Google Android 12 (S),Android,Smartphone
20244,vivo iQOO 9 Pro 5G Standard Edition Dual SIM TD-LTE IN 256GB I2022,BBK,209 g,2022 Feb. 22,Google Android 12 (S),Android,Smartphone
20245,vivo iQOO 9 5G Premium Edition Dual SIM TD-LTE IN 256GB I2017,BBK,200 g,2022 Feb. 23,Google Android 12 (S),Android,Smartphone
20246,vivo iQOO 9 5G Standard Edition Dual SIM TD-LTE IN 128GB I2017,BBK,200 g,2022 Feb. 23,Google Android 12 (S),Android,Smartphone
20247,vivo iQOO 9 Pro 5G Premium Edition Dual SIM TD-LTE IN 512GB I2022,BBK,209 g,2022 Feb. 22,Google Android 12 (S),Android,Smartphone
20248,vivo iQOO 9 5G Premium Edition Dual SIM TD-LTE CN 256GB V2171A,BBK,206 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20249,vivo iQOO 9 5G Premium Edition Dual SIM TD-LTE CN 512GB V2171A,BBK,206 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20250,vivo iQOO 9 5G Standard Edition Dual SIM TD-LTE CN 256GB V2171A,BBK,206 g,2022 Jan. 12,Google Android 12 (S),Android,Smartphone
20251,vivo iQOO 9T 5G Premium Edition Dual SIM TD-LTE IN 256GB I2201,BBK,207 g,2022 Aug. 3,Google Android 12 (S),Android,Smartphone
20252,vivo iQOO 10 5G Premium Edition Dual SIM TD-LTE CN 256GB V2217A,BBK,207 g,2022 Jul 19,Google Android 12 (S),Android,Smartphone
20253,vivo iQOO 9T 5G Standard Edition Dual SIM TD-LTE IN 128GB I2201,BBK,207 g,2022 Aug. 3,Google Android 12 (S),Android,Smartphone
20254,vivo iQOO 10 5G Premium Edition Dual SIM TD-LTE CN 512GB V2217A,BBK,207 g,2022 Jul 19,Google Android 12 (S),Android,Smartphone
20255,vivo iQOO 10 5G Standard Edition Dual SIM TD-LTE CN 256GB V2217A,BBK,207 g,2022 Jul 19,Google Android 12 (S),Android,Smartphone
20256,vivo iQOO 10 5G Standard Edition Dual SIM TD-LTE CN 128GB V2217A,BBK,207 g,2022 Jul 19,Google Android 12 (S),Android,Smartphone
20257,Aquos V6 Plus Dual SIM TD-LTE APAC 64GB,Sharp,190 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20258,Aquos V6 Dual SIM TD-LTE APAC 32GB,Sharp,190 g,2022 Feb.,Google Android 12 (S),Android,Smartphone
20259,Realme GT Neo3 5G 2022 150W Premium Edition Dual SIM TD-LTE CN 256GB RMX3562,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20260,Realme GT Neo3 5G 2022 150W Standard Edition Dual SIM TD-LTE CN 256GB RMX3562,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20261,Realme GT Neo3 5G 2022 80W Premium Edition Dual SIM TD-LTE CN 256GB RMX3560,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20262,Realme GT Neo3 5G 2022 80W Standard Edition Dual SIM TD-LTE CN 256GB RMX3560,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20263,Realme GT Neo3 5G 2022 80W Standard Edition Dual SIM TD-LTE CN 128GB RMX3560,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20264,Realme GT Neo3 5G 2022 80W Base Edition Dual SIM TD-LTE CN 128GB RMX3560,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20265,Realme GT Neo3 5G 2022 150W Premium Edition Dual SIM TD-LTE CN 512GB RMX3562,Oppo,188 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20266,Realme GT Neo 3 5G 2022 150W Premium Edition Global Dual SIM TD-LTE 256GB RMX3563,Oppo,188 g,2022 Jun,Google Android 12 (S),Android,Smartphone
20267,vivo iQOO 10 Pro 5G Premium Edition Dual SIM TD-LTE CN 512GB V2218A,BBK,216 g,2022 Jul 27,Google Android 12 (S),Android,Smartphone
20268,Realme GT Neo 3 5G 2022 8W Standard Edition Global Dual SIM TD-LTE 256GB RMX3561,Oppo,188 g,2022 Jun,Google Android 12 (S),Android,Smartphone
20269,vivo iQOO 10 Pro 5G Premium Edition Dual SIM TD-LTE CN 256GB V2218A,BBK,216 g,2022 Jul 27,Google Android 12 (S),Android,Smartphone
20270,vivo iQOO 10 Pro 5G Standard Edition Dual SIM TD-LTE CN 256GB V2218A,BBK,216 g,2022 Jul 27,Google Android 12 (S),Android,Smartphone
20271,Nubia Red Magic 7 Pro 5G Premium Edition Global Dual SIM TD-LTE 256GB NX709J,ZTE,235 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20272,SM-X906B Galaxy Tab S8 Ultra 5G 14.6 2022 Standard Edition Global TD-LTE 128GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20273,vivo iQOO 9 SE 5G Premium Edition Dual SIM TD-LTE IN 256GB ���I2019,BBK,197 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20274,vivo iQOO 9 SE 5G Standard Edition Dual SIM TD-LTE IN 128GB ���I2019,BBK,197 g,2022 Mar,Google Android 12 (S),Android,Smartphone
20275,SM-X906B Galaxy Tab S8 Ultra 5G 14.6 2022 Top Edition Global TD-LTE 512GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20276,SM-X806B Galaxy Tab S8+ 5G 12.4 2022 Standard Edition Global TD-LTE 256GB,Samsung,572 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20277,SM-X900 Galaxy Tab S8 Ultra 14.6 2022 Premium Edition WiFi 256GB,Samsung,726 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20278,SM-X900 Galaxy Tab S8 Ultra 14.6 2022 Standard Edition WiFi 128GB,Samsung,726 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20279,SM-X900 Galaxy Tab S8 Ultra 14.6 2022 Top Edition WiFi 512GB,Samsung,726 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20280,SM-X906N Galaxy Tab S8 Ultra 5G 14.6 2022 Premium Edition TD-LTE KR 256GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20281,SM-X906N Galaxy Tab S8 Ultra 5G 14.6 2022 Standard Edition TD-LTE KR 128GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20282,SM-X906N Galaxy Tab S8 Ultra 5G 14.6 2022 Top Edition TD-LTE KR 512GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20283,SM-X906C Galaxy Tab S8 Ultra 5G 14.6 2022 Top Edition TD-LTE CN 512GB,Samsung,728 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20284,SM-X806B Galaxy Tab S8+ 5G 12.4 2022 Standard Edition Global TD-LTE 128GB,Samsung,572 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20285,SM-X800 Galaxy Tab S8+ 12.4 2022 Standard Edition WiFi 256GB,Samsung,567 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20286,SM-X800 Galaxy Tab S8+ 12.4 2022 Standard Edition WiFi 128GB,Samsung,567 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20287,SM-X806N Galaxy Tab S8+ 5G 12.4 2022 Premium Edition TD-LTE KR 256GB,Samsung,572 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20288,SM-X806N Galaxy Tab S8+ 5G 12.4 2022 Standard Edition TD-LTE KR 128GB,Samsung,572 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20289,SM-X806C Galaxy Tab S8+ 5G 12.4 2022 Standard Edition TD-LTE CN 128GB,Samsung,572 g,2022 Mar,Google Android 12 (S),Android,Tablet
20290,SM-X806C Galaxy Tab S8+ 5G 12.4 2022 Standard Edition TD-LTE CN 256GB,Samsung,572 g,2022 Mar,Google Android 12 (S),Android,Tablet
20291,SM-X706B Galaxy Tab S8 5G 11 2022 Standard Edition Global TD-LTE 256GB,Samsung,507 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20292,SM-X706B Galaxy Tab S8 5G 11 2022 Standard Edition Global TD-LTE 128GB,Samsung,507 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20293,SM-X700 Galaxy Tab S8 5G 11 2022 Standard Edition WiFi 128GB,Samsung,503 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20294,SM-X700 Galaxy Tab S8 5G 11 2022 Standard Edition WiFi 256GB,Samsung,503 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20295,SM-X706N Galaxy Tab S8 5G 11 2022 Premium Edition TD-LTE KR 256GB,Samsung,507 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20296,SM-X706N Galaxy Tab S8 5G 11 2022 Standard Edition TD-LTE KR 128GB,Samsung,507 g,2022 Feb.,Google Android 12 (S),Android,Tablet
20297,SM-X706C Galaxy Tab S8 5G 11 2022 Standard Edition TD-LTE CN 128GB,Samsung,507 g,2022 Mar,Google Android 12 (S),Android,Tablet
20298,SM-X706C Galaxy Tab S8 5G 11 2022 Standard Edition TD-LTE CN 256GB,Samsung,507 g,2022 Mar,Google Android 12 (S),Android,Tablet
20299,SM-X808U Galaxy Tab S8+ 5G UW 12.4 2022 Standard Edition TD-LTE US 128GB / SM-X808A,Samsung,572 g,2022 Feb. 26,Google Android 12 (S),Android,Tablet
20300,SM-X808U Galaxy Tab S8+ 5G UW 12.4 2022 Standard Edition TD-LTE US 128GB / SM-X808T,Samsung,572 g,2022 Feb. 26,Google Android 12 (S),Android,Tablet
20301,SM-X808U Galaxy Tab S8+ 5G UW 12.4 2022 Standard Edition TD-LTE US 128GB / SM-X808V,Samsung,572 g,2022 Feb. 26,Google Android 12 (S),Android,Tablet
20302,SM-X808U Galaxy Tab S8+ 5G UW 12.4 2022 Standard Edition TD-LTE US 128GB / SM-X808R4,Samsung,572 g,2022 Feb. 26,Google Android 12 (S),Android,Tablet
20303,Vivo Y33s 5G Premium Edition Dual SIM TD-LTE CN 128GB V2166A,BBK,185 g,2022 Mar 16,Google Android 12 (S),Android,Smartphone
20304,Vivo Y33s 5G Standard Edition Dual SIM TD-LTE CN 128GB V2166A,BBK,185 g,2022 Mar 16,Google Android 12 (S),Android,Smartphone
20305,Vivo Y33s 5G Base Edition Dual SIM TD-LTE CN 128GB V2166A,BBK,185 g,2022 Mar 16,Google Android 12 (S),Android,Smartphone
20306,SM-M236B/DS Galaxy M23 5G 2022 Standard Edition Global Dual SIM TD-LTE 128GB,Samsung,198 g,2022 Apr. 8,Google Android 12 (S),Android,Smartphone
20307,Enjoy 20e Premium Edition Dual SIM TD-LTE CN 128GB MLD-AL00 / Changxiang 20e,Huawei,185 g,2022 Jan.,Huawei HarmonyOS 2.0,Android,Smartphone
20308,Enjoy 20e Standard Edition Dual SIM TD-LTE CN 128GB MLD-AL10 / Changxiang 20e,Huawei,185 g,2021 Oct,Huawei HarmonyOS 2.0,Android,Smartphone
20309,Enjoy 20e Standard Edition Dual SIM TD-LTE CN 64GB MLD-AL10 / Changxiang 20e,Huawei,185 g,2021 Oct,Huawei HarmonyOS 2.0,Android,Smartphone
20310,Honor Play 20 Pro Dual SIM TD-LTE CN 128GB HJC-LX9 / Changwan 20 Pro HJC-L29,Huawei,179 g,2021 Sep 18,Google Android 10 (Q),Android,Smartphone
20311,Honor Play 20 Standard Edition Dual SIM TD-LTE CN 64GB KOZ-AL00,Huawei,198 g,2021 Dec,Google Android 10 (Q),Android,Smartphone
20312,Honor Play 5T Dual SIM TD-LTE CN 128GB KOZ-AL40,Huawei,198 g,2021 Jun,Google Android 10 (Q),Android,Smartphone
20313,Honor Play 5T 4G Vitality Edition Dual SIM TD-LTE CN 128GB NZA-AL00 / Play5T Huoli,Huawei,191 g,2021 Apr. 21,Google Android 10 (Q),Android,Smartphone
20314,Honor Play5 5G Vitality Edition Dual SIM TD-LTE CN 128GB NEW-AN90 / Play5 Huoli,Huawei,192 g,2021 Nov.,Google Android 11 (R),Android,Smartphone
20315,Honor Play5 5G Vitality Edition Dual SIM TD-LTE CN 256GB NEW-AN90 / Play5 Huoli,Huawei,192 g,2021 Nov.,Google Android 11 (R),Android,Smartphone
20316,Honor X30 Max 5G Dual SIM TD-LTE CN 256GB KKG-AN70,Huawei,228 g,2021 Nov.,Google Android 11 (R),Android,Smartphone
20317,Honor Play 30 Plus 5G Standard Dual SIM TD-LTE CN 128GB CMA-AN00 / Changwan30 Plus,Huawei,198 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20318,Honor X30i 5G Standard Edition Dual SIM TD-LTE CN 128GB TFY-AN00,Huawei,175 g,2021 Nov.,Google Android 11 (R),Android,Smartphone
20319,Honor X30 5G Premium Edition Dual SIM TD-LTE CN 256GB ANY-AN00,Huawei,189 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20320,Honor Magic V 5G Dual SIM TD-LTE CN 512GB MGI-AN00,Huawei,293 g,2022 Jan.,Google Android 12 (S),Android,Smartphone
20321,Honor X30 Max 5G Dual SIM TD-LTE CN 128GB KKG-AN70,Huawei,228 g,2021 Nov.,Google Android 11 (R),Android,Smartphone
20322,Honor Play 30 Plus 5G Base Dual SIM TD-LTE CN 128GB CMA-AN00 / Changwan30 Plus,Huawei,198 g,2021 Dec,Google Android 11 (R),Android,Smartphone
20323,Honor Play 30 Plus 5G Premium Dual SIM TD-LTE CN 128GB CMA-AN00 / Changwan30 Plus,Huawei,198 g,2021 Dec,Google Android 11 (R),Android,Smartphone
